name,geometry
Exit,POINT (46.502816700000004 24.558700400000003)
Police Check Point,POINT (46.4371894 24.525575)
Exit,POINT (46.5110928 24.562610000000003)
Exit,POINT (46.446655400000004 24.5313936)
Police Check Point,POINT (46.437024 24.5258584)
طويق,POINT (46.530722100000006 24.566387600000002)
طويق,POINT (46.5598351 24.585476900000003)
Exit,POINT (46.438959600000004 24.526536800000002)
ساسكو,POINT (46.5242139 24.571792100000003)
اسواق العثيمين,POINT (46.5504778 24.566811700000002)
مركز صحي,POINT (46.540212700000005 24.562336300000002)
محطة طريق جدة,POINT (46.5435712 24.5915785)
مسجد مهرة سعد آل سلطان,POINT (46.5193656 24.5456009)
حي الغروب,POINT (46.505900000000004 24.55)
أسواق البركه,POINT (46.513727800000005 24.55148)
الشبكة الذهبية للاتصالات,POINT (46.5421594 24.5673107)
مسجد والدة عبدالله المرشد,POINT (46.515819900000004 24.5490578)
ماء,POINT (46.521141400000005 24.5423103)
ماء,POINT (46.556245000000004 24.574487)
وايت ماء,POINT (46.573526400000006 24.551646100000003)
Petromin,POINT (46.554464 24.562630000000002)
Petromin,POINT (46.575229 24.558673000000002)
Petromin,POINT (46.547340000000005 24.593412)
Petromin,POINT (46.4985287 24.5529735)
Petromin,POINT (46.545284900000006 24.570523700000003)
Petromin,POINT (46.527346400000006 24.556193800000003)
Petromin,POINT (46.545097000000005 24.558878)
طويق,POINT (46.5598376 24.5855174)
محطة طريق جدة,POINT (46.5436118 24.591545500000002)
العوالي,POINT (46.566523000000004 24.559580800000003)
ظهرة عوصاء,POINT (46.5734246 24.543878300000003)
ناشونل أويل ستوب,POINT (46.562569100000005 24.560092400000002)
ردتاغ,POINT (46.5766963 24.5783315)
محطة طريق جدة,POINT (46.5436021 24.5915764)
الدريس,POINT (46.54032 24.561010000000003)
ديزل الحجاز,POINT (46.484536500000004 24.5519801)
طويق,POINT (46.559836600000004 24.5854995)
مطاعم ذوق الرواد,POINT (46.5141621 24.5514835)
ماكدونالدز,POINT (46.575249500000005 24.564550800000003)
Patchi,POINT (46.575357000000004 24.5648956)
Subway,POINT (46.5753409 24.5648486)
أسواق التميمي,POINT (46.5753527 24.5650373)
Pizza Hut,POINT (46.575345000000006 24.564963300000002)
Masdar,POINT (46.5183824 24.5556719)
Lulu,POINT (46.516849500000006 24.554569200000003)
Othaim,POINT (46.4999504 24.5564308)
متوسطة أوس بن ثابت,POINT (46.553737100000006 24.5763266)
شركة الوعلان للتجارة,POINT (46.5172049 24.567023000000002)
شركة الوعلان للتجارة,POINT (46.517518700000004 24.566508300000002)
Sha Shawarma Salmaniya | شا شاورما السلمانية,POINT (46.4913843 24.554843700000003)
