name,highway_type,geometry
طريق مكة المكرمة,motorway,"LINESTRING (46.4333509 24.5241454, 46.4345943 24.5245594, 46.4356761 24.5249593, 46.4370237 24.5255076, 46.4371894 24.525575, 46.4389596 24.5265368, 46.4455926 24.5304338, 46.4471571 24.5313108, 46.4503386 24.5331769, 46.453354 24.5349365, 46.4560052 24.5364921, 46.45883 24.5381274, 46.4616539 24.5397904, 46.4643257 24.5413731, 46.4662163 24.5423953, 46.4689096 24.5437258, 46.4708716 24.5446993, 46.4722094 24.545332, 46.4736898 24.545981, 46.4779527 24.5478793, 46.4810562 24.5492421, 46.4844076 24.5506272, 46.485658 24.5512376, 46.4904382 24.553298, 46.4952373 24.5553934, 46.4991602 24.5571267, 46.5012649 24.5580028, 46.5028167 24.5587004, 46.5105755 24.5620585, 46.5136256 24.5634374, 46.5150168 24.5641025, 46.5177636 24.5656436, 46.5191905 24.5665033, 46.5213844 24.5679308, 46.5230789 24.5691475, 46.524595 24.5703316, 46.5264856 24.5718727, 46.5282336 24.5734299, 46.5293751 24.5745491, 46.531254 24.5765597, 46.5326444 24.578113, 46.5342065 24.5798458, 46.5359403 24.5817268, 46.5373531 24.5833243, 46.5376857 24.5837004, 46.5393049 24.5854264, 46.5403263 24.5865738, 46.5411932 24.5875338, 46.5418369 24.5882206, 46.5433443 24.5898743, 46.544447 24.5910839, 46.5457164 24.5923649, 46.546961 24.5937697, 46.5479189 24.5949284, 46.548765 24.5958358, 46.5490949 24.5962038, 46.5498593 24.5970565, 46.553357 24.6007578, 46.555283 24.602657, 46.5635803 24.6102033)"
طريق خديجة بنت خويلد,secondary,"LINESTRING (46.52304 24.5804274, 46.5230514 24.5805447, 46.5231649 24.581681, 46.5232172 24.5822569, 46.5233035 24.5831501, 46.5233646 24.583795, 46.5235085 24.5841331, 46.5236973 24.5842892, 46.5241669 24.5845676, 46.525374 24.5852831, 46.5271634 24.5863438, 46.5277692 24.5867029, 46.5284728 24.58712, 46.5285296 24.5871536, 46.5291218 24.5874424, 46.529765 24.5875898, 46.529941 24.5876216, 46.5302027 24.5876437, 46.5306753 24.5876375, 46.5320498 24.5875249, 46.5333743 24.5874165, 46.5345152 24.587323, 46.5356477 24.5872303, 46.5369891 24.5871204, 46.5380139 24.5870365, 46.5392629 24.5869544, 46.5397912 24.5869197, 46.5398483 24.586961, 46.5398582 24.5869931, 46.539832 24.5870437)"
طريق خديجة بنت خويلد,secondary,"LINESTRING (46.5403387 24.5870148, 46.5400407 24.5870287, 46.5399579 24.5870347, 46.539832 24.5870437, 46.5388706 24.5871128, 46.5381941 24.5871614, 46.5375526 24.5872134, 46.5370003 24.5872609, 46.5364107 24.5873117, 46.5354073 24.5873873, 46.5344357 24.5874661, 46.5339506 24.5875054, 46.5326756 24.5876087, 46.532067 24.5876581, 46.5311157 24.5877496, 46.5303921 24.5878067, 46.5298503 24.5877687, 46.5293541 24.5876667, 46.5289046 24.5875119, 46.5284523 24.5872785, 46.5265803 24.5861737, 46.5250725 24.5852838, 46.5246447 24.5850313, 46.5236761 24.5843966, 46.5233454 24.5841799, 46.5231597 24.583795, 46.5231487 24.5836747, 46.5230918 24.5830522, 46.523006 24.5821144, 46.52291 24.5810654, 46.5228666 24.5805907, 46.5229329 24.5805231, 46.5229753 24.580507, 46.5230514 24.5805447)"
خديجة بنت خويلد,primary,"LINESTRING (46.5570766 24.5855594, 46.5572423 24.5855472, 46.5578978 24.5854989, 46.561207 24.5852408, 46.5626245 24.5851302, 46.5636545 24.5850499, 46.563721 24.5850447, 46.564897 24.584953, 46.5661561 24.5848548, 46.5667279 24.5848102, 46.5669208 24.5847951, 46.5674723 24.5847521, 46.5687304 24.584654, 46.5699392 24.5845597, 46.5710655 24.5844719, 46.5724194 24.5843663, 46.5759898 24.5840878, 46.5765939 24.5840407, 46.5769816 24.5840134, 46.5785977 24.5838845, 46.5787503 24.5838726, 46.5802707 24.583754, 46.5810313 24.5837243, 46.5810965 24.5837218, 46.581221 24.5837288, 46.5818633 24.5837647, 46.5827363 24.5839149, 46.5835679 24.5841723, 46.5839002 24.5842831, 46.5841618 24.5844124, 46.584494 24.5845746, 46.585013 24.5849125, 46.5860351 24.5855401, 46.5862575 24.5856766, 46.5867335 24.5859698, 46.5878088 24.5866322, 46.5888136 24.5872513, 46.5897241 24.5878121, 46.590866 24.5885156, 46.5918478 24.5891204, 46.5918664 24.5891319, 46.5920499 24.5892449, 46.5927604 24.5896826, 46.5938548 24.5903568, 46.5942322 24.5905892, 46.5948031 24.5909344)"
الوليد بن عبدالملك,tertiary,"LINESTRING (46.5462837 24.592722, 46.5472772 24.5926595, 46.552023 24.5923609, 46.5533296 24.5922591, 46.5556914 24.5920751, 46.5569487 24.5919936, 46.5573405 24.5919659, 46.5575108 24.5919437, 46.5576518 24.5919365, 46.5577891 24.5919235, 46.5579154 24.5919157, 46.5582419 24.5918955, 46.5594975 24.5917961, 46.5606577 24.5917162, 46.5617483 24.5916031, 46.56237 24.5915547, 46.5631592 24.5914932, 46.5643564 24.5913999, 46.5667847 24.5912107, 46.5673192 24.5911691, 46.5674702 24.5911603, 46.5678121 24.5911325, 46.5680702 24.5911106, 46.5693023 24.5910146, 46.5716856 24.5908289, 46.5729899 24.5907273, 46.5741333 24.5906382, 46.5765708 24.5904483, 46.5771782 24.590378, 46.5775367 24.5903507, 46.5777647 24.5903277, 46.5781013 24.5902937, 46.57925 24.5901776, 46.5802117 24.5902193, 46.5809559 24.5903858, 46.5815213 24.5906317, 46.5817459 24.5907294, 46.582078 24.5909261)"
الوليد بن عبدالملك,tertiary,"LINESTRING (46.5818702 24.5912089, 46.5812298 24.5908604, 46.5808318 24.590694, 46.5802685 24.5905818, 46.5801522 24.5905587, 46.5798804 24.5905448, 46.5792331 24.5905116, 46.5787098 24.5905508, 46.5766918 24.5907019, 46.5757456 24.5907603, 46.5736343 24.5909362, 46.5699941 24.5912168, 46.5695678 24.5912497, 46.5653743 24.591573, 46.5645329 24.5916379, 46.5617916 24.5918492, 46.5602212 24.5919769, 46.5576103 24.5921891, 46.5569353 24.5922235, 46.5553558 24.5923453, 46.5539864 24.5924508, 46.5534866 24.5924893, 46.5506356 24.5927092, 46.5483544 24.5928765, 46.5480162 24.5929042, 46.5472291 24.5929602, 46.5471867 24.5929633, 46.5470432 24.5930011, 46.5469238 24.5930463, 46.5468568 24.5930792, 46.5468138 24.5931389, 46.5468018 24.5932304, 46.5468062 24.5933226)"
خديجة بنت خويلد,primary,"LINESTRING (46.5947349 24.5910484, 46.594164 24.5906961, 46.592411 24.5896307, 46.59197 24.5893615, 46.5917822 24.5892469, 46.5909419 24.588734, 46.5899579 24.5881334, 46.5888934 24.5874836, 46.5883985 24.5871815, 46.5879339 24.5868979, 46.5869797 24.5863154, 46.5861571 24.5858133, 46.5859344 24.5856772, 46.5854088 24.585356, 46.5849332 24.5850654, 46.5842957 24.5846702, 46.5835976 24.5843564, 46.5834505 24.5842969, 46.5830625 24.5841785, 46.5826874 24.5840641, 46.581794 24.5839148, 46.5811046 24.5838756, 46.5810213 24.5838709, 46.5805497 24.5838934, 46.5802872 24.583906, 46.5792988 24.5839831, 46.5781272 24.5840744, 46.5780792 24.5840782, 46.5769773 24.5841655, 46.576608 24.5841929, 46.5760405 24.5842371, 46.5746609 24.5843447, 46.5736021 24.5844273, 46.5724399 24.5845179, 46.5711176 24.584621, 46.5700171 24.5847068, 46.5675013 24.584903, 46.5669226 24.584951, 46.5667419 24.5849643, 46.5662153 24.5850032, 46.564908 24.5851052, 46.563798 24.5851917, 46.5625394 24.5852898, 46.5618192 24.585346, 46.5612664 24.5853891, 46.5601416 24.5854768, 46.5576674 24.5856697, 46.5570933 24.5857152)"
أسماء بنت أبي بكر,secondary,"LINESTRING (46.5753315 24.6003502, 46.5752749 24.6003159, 46.5752448 24.600261, 46.5752674 24.6001959, 46.5775142 24.5971378, 46.5784155 24.5959111, 46.5788035 24.595383, 46.5793011 24.5947057, 46.5798471 24.5939626, 46.5808702 24.5925701, 46.581066 24.5923035, 46.5818702 24.5912089, 46.582078 24.5909261, 46.5827156 24.5900582, 46.5828933 24.5898164, 46.583361 24.5891798, 46.5833899 24.5891404, 46.5835745 24.5888893, 46.5836898 24.5887323, 46.5839053 24.5884389, 46.583971 24.5883494, 46.5846864 24.5873758, 46.585306 24.5865325, 46.5859344 24.5856772, 46.5860351 24.5855401, 46.5867528 24.5845614, 46.587038 24.5841725, 46.5878097 24.5831202, 46.5887188 24.5818806, 46.5891342 24.5813141, 46.5891909 24.5812368, 46.589794 24.5804144, 46.5898806 24.5802963, 46.5901709 24.5799005, 46.5913609 24.5782778, 46.5916573 24.5778737, 46.5923971 24.576865, 46.5930398 24.5759885, 46.5936775 24.575119, 46.5949469 24.5733056, 46.5952799 24.5729339, 46.5953824 24.5727967)"
أسماء بنت أبي بكر,secondary,"LINESTRING (46.5956605 24.5728616, 46.5955575 24.5729994, 46.595132 24.5735795, 46.5950153 24.5737385, 46.5934917 24.5758154, 46.5931391 24.576296, 46.5924881 24.5771834, 46.5923156 24.5774186, 46.5917085 24.5782566, 46.5907988 24.579489, 46.5904673 24.5799381, 46.5901041 24.5804331, 46.5900173 24.5805514, 46.589444 24.5813328, 46.58884 24.5821563, 46.5880528 24.5832293, 46.5877523 24.583639, 46.5874764 24.584015, 46.5867929 24.5849468, 46.5862575 24.5856766, 46.5861571 24.5858133, 46.5858575 24.5862212, 46.5844788 24.5880984, 46.5841311 24.5885717, 46.5838218 24.5889928, 46.5831059 24.5899675, 46.5824406 24.5908733, 46.581068 24.592742, 46.5807529 24.593171, 46.5806391 24.5933259, 46.5801163 24.5940377, 46.5799161 24.5943103, 46.5794961 24.5948821, 46.5789173 24.59567, 46.5787119 24.5959497, 46.5784051 24.5963675, 46.5780673 24.5968273, 46.5774696 24.5976411, 46.5769052 24.5984095, 46.576801 24.5985514, 46.5761353 24.5994577, 46.5756112 24.6001712, 46.5754823 24.6003467, 46.5754467 24.6003585, 46.5753993 24.6003742, 46.5753315 24.6003502)"
Al Zahabi,secondary,"LINESTRING (46.5469616 24.5863498, 46.5469989 24.5862842, 46.547005 24.5861989, 46.5470015 24.5861457, 46.5468024 24.5831407, 46.5467553 24.5826422, 46.5467038 24.5820967, 46.5465234 24.5801857, 46.5465094 24.5800378, 46.5464264 24.5791585, 46.5463288 24.5781244, 46.5462107 24.5768741, 46.5461586 24.5763225, 46.5461092 24.5757986, 46.5459658 24.5742251, 46.5459609 24.5741292, 46.5459383 24.5739358)"
Ali Zahabi,secondary,"LINESTRING (46.5795679 24.5463758, 46.5793675 24.5465098, 46.5783359 24.5465892, 46.5781588 24.5466028, 46.5773864 24.5466622, 46.5734853 24.5469625, 46.573269 24.5469792, 46.5724974 24.5470397, 46.5689865 24.5473149, 46.5682571 24.5473721, 46.5642551 24.5476858, 46.5635618 24.5477402, 46.5633809 24.5477539, 46.5624825 24.5478218, 46.5608136 24.5479479, 46.5591896 24.5480706, 46.5583519 24.5481339, 46.5544295 24.5484303, 46.5536316 24.5484906, 46.5534638 24.5485035, 46.5527373 24.5485594, 46.5494277 24.5488141, 46.5485901 24.5488786, 46.5466022 24.5490316, 46.5454745 24.5491184, 46.545164 24.549159, 46.5449379 24.5492081, 46.5447216 24.549302, 46.5445447 24.5494049, 46.5443874 24.5495211, 46.544235 24.5496865, 46.5441121 24.5499101, 46.5440138 24.550156, 46.5439696 24.5504108, 46.5439401 24.5507372, 46.5440079 24.551472, 46.5443438 24.5543518)"
